"Qty";"Value";"Device";"Package";"Parts";"Description";"APPLICATION_BUILDNUMBER";"AVAILABILITY";"BOM";"BUILT_BY";"COMPTYPE";"COPYRIGHT";"DESC";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY-PURCHASE-URL";"FCC";"HEIGHT";"LOAD_CAPACITY";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MEANUFACTURER";"MF";"MOUNTTYPE";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PACKAGEREFERENCE";"PARTNO";"PARTNUMBER";"PART_NUMBER";"PIN_COUNT";"POPULARITY";"PRICE";"QUENCH";"REFDES";"ROHS";"SIZE";"SOFTSTART";"SOURCELIBRARY";"SPICEMODEL";"TC";"TOL";"TYPE";"VALUE";"VENDOR";"VOLT";"VOLTAGE";"Z-HEIGHT";
"1";"";"JUMPER_SJ2W";"JUMPER_SJ_2";"SJ3";"SMD solder JUMPER";"";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"R-0402";"R0402";"R8, R11";"Resistor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5%";"";"";"";"";"";"";
"1";"";"SGTL5000-QFN20";"SGTL5000-QFN20";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"0.1u";"C-0402";"C0402";"C27, C28, C31, C35, C36";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X7R";"10%";"";"";"";"";"6.3V";"";
"8";"0.1u";"C-0402";"C0402";"C11, C18, C20, C22, C30, C43, C44, C45";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.1UF 10V X7R 0402";"0.1µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric)";"";"";"";"";"0.55mm";"";"Yageo";"";"";"";"";"";"CC0402KRX7R6BB104";"";"";"";"CC0402KRX7R6BB104";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"10%";"Capacitor";"";"";"10V";"6.3V";"";
"1";"0.1u";"C-0402";"C0402";"C24";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.1UF 10V X7R 0402";"";"";"";"";"";"0.55mm";"";"Yageo";"";"";"";"";"";"CC0402KRX7R6BB104";"";"";"";"CC0402KRX7R6BB104";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"10%";"Capacitor";"";"";"10V";"6.3V";"";
"5";"0.1u";"C-0402";"C0402";"C7, C13, C25, C47, C48";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.1UF 16V X7R 0402";"";"";"";"";"";"0.55mm";"";"Kemet";"";"";"";"";"";"C0402C104K4RACTU";"";"";"";"C0402C104K4RACTU";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"10%";"Capacitor";"";"";"16V";"16V";"";
"1";"0.68u";"C-0402";"C0402";"C6";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 0.68UF 6.3V X5R 0402";"";"";"";"";"";"0.55mm";"";"Yageo";"";"";"";"";"";"CC0402KRX5R5BB684";"";"";"";"CC0402KRX5R5BB684";"";"";"";"";"";"";"";"";"0402";"";"";"";"X5R";"10%";"Capacitor";"";"";"6.3V";"6.3V";"";
"2";"0R";"C0402-ANT0402";"C0402-S";"R27, R28";"Capacitor, Surface Mount";"";"";"";"";"";"";"RES 0 OHM JUMPER 1/16W 0402";"";"";"";"";"";"";"";"Stackpole";"";"";"";"";"";"RMCF0402ZT0R00";"";"";"";"RMCF0402ZT0R00";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"Jumper";"Resistor";"";"";"";"6.3V";"";
"1";"1.2n";"L0402";"L0402";"L1";"";"";"";"";"";"";"";"FIXED IND 1.2NH 390MA 100 MOHM";"";"";"";"";"";"0.45mm";"";"Murata";"";"";"";"";"";"LQP15MN1N2W02D";"";"";"";"LQP15MN1N2W02D";"";"";"";"";"";"";"";"";"0402";"";"";"";"";"0.05nH";"Inductor";"";"";"";"";"";
"1";"1.33R";"R-0402";"R0402";"R_SENSE";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 1.33 OHM 1% 1/16W 0402";"";"";"";"";"";"0.4mm";"";"Vishay Dale";"";"";"";"";"";"CRCW04021R33FKED";"";"";"";"CRCW04021R33FKED";"";"";"";"";"";"";"";"";"0402";"";"";"";"±100ppm/°C";"1%";"Resistor";"";"";"";"";"";
"1";"100k";"R-0402";"R0402";"R2";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 82.5KOHM 0.1% 1/16W 0402";"";"";"";"";"";"0.4mm";"";"Panasonic";"";"";"";"";"";"ERA-2AEB8252X";"";"";"";"ERA-2AEB8252X";"";"";"";"";"";"";"";"";"0402";"";"";"";"±25ppm/°C";"0.1%";"Resistor";"";"";"";"";"";
"2";"100k";"R-0402";"R0402";"R3, R4";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 100K OHM 0.1% 1/16W 0402";"";"";"";"";"";"0.35mm";"";"Yageo";"";"";"";"";"";"RT0402BRD07100KL";"";"";"";"RT0402BRD07100KL";"";"";"";"";"";"";"";"";"0402";"";"";"";"±25ppm/°C";"0.1%";"Resistor";"";"";"";"";"";
"1";"100k";"R-0402";"R0402";"R10";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 100K OHM 1% 1/10W 0402";"";"";"";"";"";"0.4mm";"";"Panasonic";"";"";"";"";"";"ERJ-2RKF1003X";"";"";"";"ERJ-2RKF1003X";"";"";"";"";"";"";"";"";"0402";"";"";"";"±100ppm/°C";"1%";"Resistor";"";"";"";"";"";
"2";"10u";"C-0603";"C0603";"C9, C40";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 10UF 6.3V X5R 0603 ";"";"";"";"";"";"0.9mm";"";"Murata";"";"";"";"";"";"GRM188R60J106KE47D";"";"";"";"GRM188R60J106KE47D";"";"";"";"";"";"";"";"";"0603";"";"";"";"X5R";"10%";"Capacitor";"";"";"6.3V";"6.3V";"";
"2";"13pF";"C-0402";"C0402";"C15, C16";"Capacitor, Surface Mount";"";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"*";"";"";"";"";"";"";"";"";"";"";"";"";"X7R";"";"Capacitor";"";"";"";"6.3V";"";
"1";"1u";"C-0402";"C0402";"C32";"Capacitor, Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X7R";"10%";"";"";"";"";"6.3V";"";
"6";"1u";"C-0402";"C0402";"C10, C17, C19, C21, C23, C29";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 1UF 6.3V X5R 0402";"";"";"";"";"";"0.55mm";"";"Yageo";"";"";"";"";"";"CC0402KRX5R5BB105";"";"";"";"CC0402KRX5R5BB105";"";"";"";"";"";"";"";"";"0402";"";"";"";"X5R";"10%";"Capacitor";"";"";"6.3V";"6.3V";"";
"3";"1u";"C-0402";"C0402";"C1, C8, C14";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 1UF 10V X5R 0402";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"C0402C105M8PACTU";"";"";"";"C0402C105M8PACTU";"";"";"";"";"";"";"";"";"0402";"";"";"";"X5R";"20%";"Capacitor";"";"";"10V";"10V";"0.55mm";
"1";"1u";"C-0402";"C0402";"C42";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 1UF 10V X7S 0402";"";"";"";"";"";"0.55mm";"";"TDK";"";"";"";"";"";"C1005X7S1A105K050BC";"";"";"";"C1005X7S1A105K050BC";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7S";"10%";"Capacitor";"";"";"10V";"10V";"";
"1";"2.2p";"C0402-ANT0402";"C0402-S";"C5";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 2.2PF 50V C0G/NP0 0402";"";"";"";"";"";"0.55mm";"";"Murata";"";"";"";"";"";"GJM1555C1H2R2WB01D";"";"";"";"GJM1555C1H2R2WB01D";"";"";"";"";"";"";"";"";"0402";"";"";"";"C0G, NP0";"0.05pF";"Capacitor";"";"";"50V";"50V";"";
"1";"22p";"C0402-ANT0402";"C0402-S";"C26";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 22PF 50V C0G/NP0 0402";"";"";"";"";"";"0.55mm";"";"Kemet";"";"";"";"";"";"CBR04C220F5GAC";"";"";"";"CBR04C220F5GAC";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"1%";"Capacitor";"";"";"50V";"50V";"";
"1";"3.9p";"C0402-ANT0402";"C0402-S";"C3";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 3.9PF 50V C0G/NP0 0402";"";"";"";"";"";"";"";"Murata";"";"";"";"";"";"GJM1555C1H3R9WB01D";"";"";"";"GJM1555C1H3R9WB01D";"";"";"";"";"";"";"";"";"0402";"";"";"";"C0G, NP0";"0.05pF";"Capacitor";"";"";"50V";"50V";"0.55mm";
"1";"32.768kHz";"ADAFRUIT2_XTAL-3.2X1.5";"ADAFRUIT2_XTAL3215";"X2";"Low cost SMT crystals, no capacitors included";"";"";"";"";"";"";"CRYSTAL 32.7680KHZ 6PF SMD";"";"";"";"";"";"0.9mm";"6pF";"NDK";"";"";"";"";"";"NX3215SA-32.768K-STD-MUA-14";"";"";"";"NX3215SA-32.768K-STD-MUA-14";"";"";"";"";"";"";"";"";"0.126" L x 0.059" W (3.20mm x 1.50mm)";"";"";"";"";"±20ppm";"Crystal";"";"";"";"";"";
"1";"32.768kHz";"ADAFRUIT2_XTAL-3.2X1.5";"ADAFRUIT2_XTAL3215";"X1";"Low cost SMT crystals, no capacitors included";"";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"*";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"39R";"R-0402";"R0402";"R9";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 39 OHM 1% 1/10W 0402";"";"";"";"";"";"0.4mm";"";"Panasonic";"";"";"";"";"";"ERJ-2RKF39R0X";"";"";"";"ERJ-2RKF39R0X";"";"";"";"";"";"";"";"";"0402";"";"";"";"±100ppm/°C";"1%";"Resistor";"";"";"";"";"";
"2";"4.7k";"R-0402";"R0402";"R5, R6";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 4.7K OHM 1% 1/10W 0402";"";"";"";"";"";"0.4mm";"";"Panasonic";"";"";"";"";"";"ERJ2RKF4701X";"";"";"";"ERJ2RKF4701X";"";"";"";"";"";"";"";"";"0402";"";"";"";"±100ppm/°C";"1%";"Resistor";"";"";"";"";"";
"1";"4.7n";"C-0402";"C0402";"C46";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 4700PF 25V X7R 0402";"";"";"";"";"";"0.55mm";"";"Kemet";"";"";"";"";"";"C0402C472K3RACTU";"";"";"";"C0402C472K3RACTU";"";"";"";"";"";"";"";"";"0402";"";"";"";"X7R";"10%";"Capacitor";"";"";"25";"25V";"";
"1";"4.7u";"C-0603";"C0603";"C12";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER 4.7UF 10V X5R 0603";"";"";"";"";"";"0.9mm";"";"Kemet";"";"";"";"";"";"C0603C475K8PACTU";"";"";"";"C0603C475K8PACTU";"";"";"";"";"";"";"";"";"0603";"";"";"";"X5R";"10%";"Capacitor";"";"";"10V";"10V";"";
"1";"4.99k";"R-0402";"R0402";"R1";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 4.99KOHM 0.1% 1/16W 0402";"";"";"";"";"";"0.4mm";"";"Panasonic";"";"";"";"";"";"ERA-2AEB4991X";"";"";"";"ERA-2AEB4991X";"";"";"";"";"";"";"";"";"0402";"";"";"";"±25ppm/°C";"0.1%";"Resistor";"";"";"";"";"";
"2";"5.5p";"C-0402";"C0402";"C2, C4";"Capacitor, Surface Mount";"";"";"";"";"";"";"CAP CER RF 5.5PF 50V +/-0.1 PF C";"";"";"";"";"";"";"";"Kemet";"";"";"";"";"";"CBR04C559B5GAC";"";"";"";"CBR04C559B5GAC";"";"";"";"";"";"";"";"";"0402";"";"";"";"C0G, NP0";"0.1pF";"Capacitor";"";"";"50V";"50V";"0.55mm";
"1";"50R";"R-0402";"R0402";"R7";"Resistor, Surface Mount";"";"";"";"";"";"";"RES SMD 50 OHM 0.1% 1/20W 0402";"";"";"";"";"";"0.84mm";"";"Vishay";"";"";"";"";"";"FC0402E50R0BST1";"";"";"";"FC0402E50R0BST1";"";"";"";"";"";"";"";"";"0402";"";"";"";"±25ppm/°C";"0.1%";"Resistor";"";"";"";"";"";
"1";"ADA4841-1YRJZ-R7RJ_6-L";"ADA4841-1YRJZ-R7RJ_6-L";"RJ_6-L";"U2";"";"";"";"";"";"";"";"IC OPAMP VFB 1 CIRCUIT SOT23-6";"";"";"";"";"";"0.95-1.45mm";"";"Analog Devices";"ADA48411YRJZR7";"";"";"";"";"ADA48411YRJZR7";"";"";"";"ADA48411YRJZR7";"";"";"";"";"";"";"";"";"SOT-23-6";"";"";"ADA4841";"";"";"Opamp";"";"Analog Devices Inc";"";"";"";
"1";"ADG839YKSZ-500RL7KS_6_ADI-L";"ADG839YKSZ-500RL7KS_6_ADI-L";"KS_6_ADI-L";"U13";"";"";"";"";"EMA_UL_Team";"";"";"IC SWITCH SPDT SC70-6";"";"";"";"";"";"0.9mm";"";"";"ADG839YKSZ-500RL7";"";"";"";"";"ADG839YKSZ-500RL7";"";"";"";"ADG839YKSZ-500RL7";"";"";"";"";"";"";"";"";"SC-70-6";"";"Analog_2012-01-01_7";"";"";"";"SPDT Switch";"";"Analog Devices Inc";"";"";"";
"1";"ATSAMD21G18_QFN";"MICROBUILDER_ATSAMD21J_QFN";"MICROBUILDER_TQFN48_7MM";"U19";"";"";"";"";"";"";"";"IC MCU 32BIT 256KB FLASH 48QFN";"";"";"";"";"";"0.85mm";"";"Microchip";"";"";"";"";"";"ATSAMD21G18A-MF";"";"";"";"ATSAMD21G18A-MF";"";"";"";"";"";"";"";"";"48-QFN (7x7)";"";"";"";"";"";"MCU";"";"";"";"";"";
"1";"ATTINY817-MFRQFN24_RX4MC-L_ATTINY817-MFR";"ATTINY817-MFRQFN24_RX4MC-L_ATTINY817-MFR";"ATTINY817-MFRQFN24_RX4MC-L_QFN24_4X4MC";"U17";"";"";"";"";"";"";"";"IC MCU 8BIT 8KB FLASH 24QFN";"";"";"";"";"";"0.85mm";"";"Microchip";"ATTINY817MFR";"";"";"";"";"ATTINY817MFR";"";"";"";"ATTINY817MFR";"";"";"";"";"";"";"";"";"24-QFN (4x4)";"";"";"";"";"";"MCU";"";"Microchip";"";"";"";
"1";"ATTINY_AVR_DEBUG";"ATTINY_AVR_DEBUG";"SAMTECH_FTSH-105-01";"J6";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"CONN HEADER SMD 10POS 1.27MM";"";"";"";"";"";"";"";"Samtec";"";"";"";"";"";"FTSH-105-01-L-DV-K";"";"";"";"FTSH-105-01-L-DV-K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Header";"";"";"";"";"";
"1";"BMI160";"BMI160";"PQFN50P300X250X88-14N";"U11";"BMI160 2.5 x 3 mm Tiaxial Accelerometer / Gyroscope Inertial Measurement Unit";"";"Unavailable";"";"";"";"";"IMU ACCEL/GYRO I2C/SPI 14LGA";" Accelerometer, Gyroscope, 6 Axis Sensor I²C, SPI Output ";"";"";"https://snapeda.com/shop?store=DigiKey&id=104926";"";"0.83mm";"";"Bosch";"";"";"Bosch";"";"BMI160";"BMI160";"";"LGA-14 Bosch";"";"BMI160";"";"";"";"";"None";"";"";"";"14-LGA (2.5x3)";"";"";"";"";"";"IMU";"";"";"";"";"";
"1";"CORTEX_DEBUG_SMD";"CORTEX_DEBUG_SMD";"SAMTECH_FTSH-105-01";"J3";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"CONN HEADER SMD 10POS 1.27MM";"";"";"";"";"";"";"";"Samtec";"";"";"";"";"";"FTSH-105-01-L-DV-K";"";"";"";"FTSH-105-01-L-DV-K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Header";"";"";"";"";"";
"1";"HIROSE-DF40_50-PIN_CONNECTORS-HEADER";"HIROSE-DF40_50-PIN_CONNECTORS-HEADER";"HRS_DF40C-50DP-0.4V(51)";"J1";"Hirose DF40 series 44-pin mezzanine type connectors at 0.4mm pitch.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ILA09_CHIP_ANTENNA";"ILA09_CHIP_ANTENNA";"ILA_09_CHIP_ANTENNA";"A1";"";"";"";"";"";"";"";"RF ANT 915MHZ CHIP SOLDER SMD";"";"";"";"";"";"";"";"Taoglas";"";"";"";"";"";"ILA.09";"";"";"";"ILA.09";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Chip Antenna";"";"";"";"";"0.5mm";
"1";"J-USB-HIROSE-MICRO-USB";"J-USB-HIROSE-MICRO-USB";"USB-THRU-ZX62D-AB-5P8";"J7";"USB - Hirose ZX62D-AB-5P8(30) micro AB USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole";"";"";"";"";"";"";"CONN RCPT USB2.0 MICRO AB SMD RA";"";"";"";"";"";"";"";"Hirose";"";"";"";"";"";"ZX62D-AB-5P8(30)";"";"";"";"ZX62D-AB-5P8(30)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Receptor";"";"";"";"";"";
"9";"JUMPER-SMT_2_NC_PASTELG_NO-SILK";"JUMPER-SMT_2_NC_PASTELG_NO-SILK";"SMT-JUMPER_2_NC_PASTE_NO-SILK";"JP1, JP2, JP3, JP4, JP5, JP6, JP12, JP13, JP15";"Normally closed solder jumper";"";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT_2_NO_PASTEFREE";"JUMPER-SMT_2_NO_PASTEFREE";"SMT-JUMPER_2_NO_PASTEFREE_NO-SILK";"JP16";"Normally open solder jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT_2_NO_PASTEFREE";"JUMPER-SMT_2_NO_PASTEFREE";"SMT-JUMPER_2_NO_PASTEFREE_NO-SILK";"JP14";"Normally open solder jumper";"";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"*";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"LOADSWITCH-MIC94164";"LOADSWITCH-MIC94164";"WLCSP6_2X3";"U1, U7, U8, U9, U10, U14";"Micrel 3A High-side Load Switch with Reverse Blocking";"";"";"";"";"";"";"IC PWR SWITCH P-CHAN 1:1 6WLCSP";"";"";"";"";"";"0.65mm";"";"Microchip Technology";"";"";"";"";"";"MIC94164YCS-TR";"";"";"";"MIC94164YCS-TR";"";"MIC94164";"";"";"";"YES";"";"";"6-WLCSP (1x1.5)";"YES";"";"";"";"";"Power Switch";"";"";"";"";"";
"1";"MPL3115A2";"MPL3115A2";"MPL3115A2_PSON125P300X500X120-8N";"U18";"Pressure Sensor, 50-110kpa, Lga-8";"";"";"";"";"";"";"IC ALTIMETER I2C VERSION 8LGA";" Pressure Sensor, 50-110kpa, Lga-8 ";"MPL3115A2-ND";"https://www.digikey.com/product-detail/en/nxp-usa-inc/MPL3115A2/MPL3115A2-ND/2817529?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"1.1mm";"";"NXP";"";"";"NXP USA";"";"MPL3115A2";"MPL-3115A2";"";"LGA-8 NXP USA";"";"MPL-3115A2";"";"";"";"";"";"";"";"";"8-LGA";"";"";"";"";"";"Altimeter";"";"";"";"";"";
"1";"NCP553SQ18T1GSC-82AB_ONS-L";"NCP553SQ18T1GSC-82AB_ONS-L";"SC-82AB_ONS-L";"U16";"";"";"";"";"EMA_Jessica";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"IC REG LINEAR 1.8V 80MA SC82AB";"";"";"";"";"";"0.8-1.1mm";"";"ON Semiconductor";"NCP553SQ18T1G";"";"";"";"";"NCP553SQ18T1G";"";"";"";"NCP553SQ18T1G";"";"";"";"";"";"";"";"";"SC-82AB";"";"ON_Semiconductor_2018-03-21";"";"";"";"LDO";"";"ON Semiconductor";"";"";"";
"1";"RFM69HCW";"RFM95C";"RFM-MOD";"U4";"RFM95 - ISM Band LoRa Transceiver";"";"";"";"";"";"";"RX TXRX MODULE ISM < 1GHZ SMD";"";"";"";"";"2ASEORFM95C";"";"";"HopeRF";"";"";"";"";"";"RFM95CW";"";"";"";"RFM95W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Radio";"";"";"";"";"";
"1";"SJ-43514-SMTC";"SJ-43514-SMTC";"CUI_SJ-43514-SMT-TEMP";"J4";"4 conductor 3.5 mm Surface Mount Audio Jack";"";"";"";"";"";"";"CONN JACK 4COND 3.5MM SMD R/A";"";"";"";"";"";"5mm";"";"CUI Devices";"";"";"";"";"";"SJ-43514-SMT";"";"";"";"SJ-43514-SMT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Audio Jack";"";"";"";"";"";
"2";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SW1, SW2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"";"SWITCH TACTILE SPST-NO 0.05A 32V";"";"";"";"";"";"1.9mm";"";"C&K";"";"";"";"";"";"KMR241NG ULC LFS";"";"";"";"KMR241NG ULC LFS";"";"";"";"";"";"";"";"";"4.60mm x 2.80mm";"";"";"";"";"";"Switch";"";"";"";"";"";
"1";"SPW2430HR5H-B";"SPW2430HR5H-B";"MIC_SPW2430HR5H-B";"MK1";"Mic Mems Analog";"";"Unavailable";"";"";"";"";"MAMET MIC ANALOG TOP PORT";" Mic Mems Analog ";"";"";"";"";"1.1mm";"";"Knowles";"";"";"Knowles";"";"SPW2430HR5H-B";"SPW2430HR5H-B";"unknown";" Knowles";"";"SPW2430HR5H-B";"";"";"";"";"None";"";"";"";"0.122" L x 0.098" W (3.10mm x 2.50mm)";"";"";"";"";"";"MEMS Microphone";"";"";"1.5V ~ 3.6V";"";"";
"3";"Value";"TS3A24159DGSRDGS0010A_L";"DGS0010A_L";"U3, U5, U6";"";"*";"";"";"";"IC";"";"IC SWITCH SPDT DUAL 10VSSOP";"";"";"";"";"";"1.1mm";"";"Texas Instruments";"";"";"";"SMT";"";"TS3A24159DGSR";"";"";"DGS0010A";"TS3A24159DGSR";"TS3A24159DGSR";"";"10";"";"";"";"RefDes";"Y";"10-VSSOP";"";"";"";"";"";"SPDT Switch";"Value";"";"";"";"";
"1";"uFL";"J-U.FL";"U.FL";"X4";"U.FL Antenna Connector";"";"";"";"";"";"";"CONN U.FL RCPT STR 50 OHM SMD";"";"";"";"";"";"1.25mm";"";"";"";"Hirose";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"3.1 x 3mm";"";"";"";"";"";"Connector";"";"";"";"";"";
"3";"uFL";"J-U.FL";"U.FL";"X3, X5, X6";"U.FL Antenna Connector";"";"";"";"";"";"";"CONN U.FL RCPT STR 50 OHM SMD";"";"";"";"";"";"1.25mm";"";"Hirose";"";"";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"3.1 x 3mm";"";"";"";"";"";"Connector";"";"";"";"";"";
